MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2023
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,RPPs: All items,97.583
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",4,"  RPPs: Goods",98.137
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",92.800
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",132.259
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.604
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",8,Implicit regional price deflator,117.579
10740,"Albuquerque, NM (Metropolitan Statistical Area)",,Real personal income,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",47260.6
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",51242
10740,"Albuquerque, NM (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,RPPs: All items,92.958
10740,"Albuquerque, NM (Metropolitan Statistical Area)",4,"  RPPs: Goods",95.413
10740,"Albuquerque, NM (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",88.767
10740,"Albuquerque, NM (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",76.684
10740,"Albuquerque, NM (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",93.686
10740,"Albuquerque, NM (Metropolitan Statistical Area)",8,Implicit regional price deflator,112.007
10780,"Alexandria, LA (Metropolitan Statistical Area)",,Real personal income,
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",7684.1
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",51859
10780,"Alexandria, LA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,RPPs: All items,86.218
10780,"Alexandria, LA (Metropolitan Statistical Area)",4,"  RPPs: Goods",92.036
10780,"Alexandria, LA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",56.081
10780,"Alexandria, LA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",75.574
10780,"Alexandria, LA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",95.340
10780,"Alexandria, LA (Metropolitan Statistical Area)",8,Implicit regional price deflator,103.885
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",,Real personal income,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",49069.9
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",56173
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,RPPs: All items,98.441
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",4,"  RPPs: Goods",98.466
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",98.814
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",115.785
